budget,homepage,id,original_language,original_title,popularity,release_date,revenue,runtime,status,tagline,vote_average,vote_count,movie_type,production_house,country,country _code
60000000,http://www.universalstudiosentertainment.com/the-bourne-identity/,2501,en,The Bourne Identity,86.476817,14-Jun-02,214034224,119,Released,He was the perfect weapon until he became the target.,7.3,3583,"Action, Drama, Mystery, Thriller",Universal Pictures,United States of America,US
60000000,http://www.the-scorpion-king.com/,9334,en,The Scorpion King,37.537093,16-Apr-02,165333180,92,Released,Warrior. Legend. King.,5.3,779,"Action, Fantasy, Adventure",Universal Pictures,United States of America,US
60000000,http://www.scottpilgrimthemovie.com/,22538,en,Scott Pilgrim vs. the World,38.885195,27-Jul-10,47664559,112,Released,Get the hot girl. Defeat her evil exes. Hit love where it hurts.,7.2,2126,"Action, Adventure, Comedy",Universal Pictures,United States of America,US
60000000,http://www.thisisit-movie.com,13576,en,Michael Jackson's This Is It,15.798622,28-Oct-09,0,111,Released,Like You've Never Seen Him Before,6.7,247,"Music, Documentary",Columbia Pictures,United States of America,US
60000000,http://www.netflix.com/title/80039517,347969,en,The Ridiculous 6,19.694695,11-Dec-15,0,119,Released,,4.9,388,"Comedy, Western",Happy Madison Productions,United States of America,US
59000000,http://www.iceagemovies.com/films/ice-age,425,en,Ice Age,99.561972,10-Mar-02,383257136,81,Released,They came. They thawed. They conquered.,7.1,3857,"Animation, Comedy, Family, Adventure",Twentieth Century Fox Film Corporation,United States of America,US
58800000,http://www.americansnipermovie.com,190859,en,American Sniper,87.53437,11-Dec-14,542307423,133,Released,The most lethal sniper in U.S. history.,7.4,4469,"War, Action",Village Roadshow Pictures,United States of America,US
58000000,,39514,en,RED,41.430245,13-Oct-10,71664962,111,Released,Still armed. Still dangerous. Still got it.,6.6,2808,"Action, Adventure, Comedy, Crime, Thriller",DC Comics,United States of America,US
58000000,,2148,en,The Cotton Club,8.59075,14-Dec-84,25928721,127,Released,It was the jazz age. It was an era of elegance and violence. The action was gambling. The stakes were life and death.,6.6,68,"Music, Drama, Crime, Romance",Orion Pictures,United States of America,US
58000000,,9007,en,Just Like Heaven,13.43573,16-Sep-05,102854431,95,Released,It's a wonderful afterlife.,6.5,579,"Comedy, Fantasy, Romance",DreamWorks SKG,United States of America,US
58000000,,24438,en,Did You Hear About the Morgans?,14.403696,17-Dec-09,85280250,103,Released,We're not in Manhattan anymore.,5.1,276,Comedy,Columbia Pictures,United States of America,US
58000000,http://www.leatherheadsmovie.com/,4942,en,Leatherheads,7.739276,24-Mar-08,41299492,114,Released,"If Love Is a Game, Who'll Make the First Pass?",5.7,130,"Comedy, Romance, Drama",Universal Pictures,Germany,DE
58000000,http://www.goosebumps-movie.com/,257445,en,Goosebumps,45.351617,05-Aug-15,158162788,103,Released,The stories are alive.,6.2,995,"Adventure, Horror, Comedy",Columbia Pictures,Australia,AU
58000000,http://www.mgm.com/view/movie/757/Goldeneye/,710,en,GoldenEye,59.824565,16-Nov-95,352194034,130,Released,No limits. No fears. No substitutes.,6.6,1174,"Adventure, Action, Thriller",United Artists,United Kingdom,GB
58000000,http://www.theinternshipmovie.com/,116741,en,The Internship,1.551497,07-Jun-13,44000000,119,Released,Hiring them was a brilliant mistake.,6.1,1658,Comedy,Twentieth Century Fox Film Corporation,United States of America,US
58000000,http://www.redtails2012.com/,72431,en,Red Tails,12.29603,19-Jan-12,50365377,125,Released,High-Octane Action and Daring Dogfights!,5.9,178,"Drama, Action, Adventure, History, War",Lucasfilm,United States of America,US
58000000,http://www.foxmovies.com/movies/deadpool,293660,en,Deadpool,514.569956,09-Feb-16,783112979,108,Released,Witness the beginning of a happy ending,7.4,10995,"Action, Adventure, Comedy",Twentieth Century Fox Film Corporation,United States of America,US
57000000,,12508,en,Rock Star,11.60815,04-Sep-01,16991902,105,Released,The story of a wanna be who got to be.,6,190,"Music, Drama, Comedy",Bel Air Entertainment,United States of America,US
57000000,,8840,en,DragonHeart,31.791979,31-May-96,115267375,103,Released,You will believe.,6.4,535,Fantasy,Universal Pictures,United States of America,US
57000000,,9621,en,Elizabethtown,22.894898,06-Oct-05,52034889,123,Released,It's a heck of a place to find yourself,6.1,327,"Comedy, Drama, Romance",Paramount Pictures,United States of America,US
57000000,,1813,en,The Devil's Advocate,33.8473,17-Oct-97,152944660,144,Released,Evil has its winning ways.,7.2,1374,"Drama, Horror, Mystery, Thriller",Regency Enterprises,Germany,DE
57000000,,6073,en,The Mexican,21.021809,01-Mar-01,147845033,123,Released,Love with the safety off.,5.8,441,"Action, Comedy, Crime, Romance",DreamWorks SKG,Mexico,MX
57000000,http://www.thespiritofvengeance.com/,71676,en,Ghost Rider: Spirit of Vengeance,48.622278,10-Dec-11,149217355,95,Released,He Rides Again.,4.7,1135,"Action, Fantasy, Thriller",Columbia Pictures,United Arab Emirates,AE
57000000,http://www.thunderbirdsmovie.com,14623,en,Thunderbirds,9.27875,23-Jul-04,28283637,95,Released,,4.2,91,"Action, Adventure, Comedy, Family, Fantasy, Science Fiction",Studio Canal,United Kingdom,GB
57000000,http://movies.uip.de/corellismandoline/,1722,en,Captain Corelli's Mandolin,9.061866,17-Aug-01,62112895,131,Released,,5.5,145,"Drama, History, Romance",Miramax Films,United Kingdom,GB
57000000,http://alltheprettyhorses.com/,21355,en,All the Pretty Horses,7.524671,11-Dec-00,0,117,Released,Some passions can never be tamed.,5.8,60,"Drama, Romance, Western",Columbia Pictures,United States of America,US
56000000,,62838,en,New Year's Eve,21.219292,08-Dec-11,142044638,118,Released,The one night anything is possible.,5.7,718,"Comedy, Romance",New Line Cinema,United States of America,US
56000000,,11358,en,Walking Tall,23.438398,02-Apr-04,57223890,86,Released,One man will stand up for what's right.,6,381,"Adventure, Drama, Action, Thriller",Metro-Goldwyn-Mayer (MGM),United States of America,US
56000000,,16072,en,Gods and Generals,4.362535,21-Feb-03,12923936,214,Released,The nations heart was touched by...,6.1,48,"Drama, History, War",Warner Bros. Pictures,United States of America,US
56000000,http://movies.disney.com/the-pacifier,10022,en,The Pacifier,35.4763,04-Mar-05,113006880,95,Released,Welcome to the infantry.,5.8,842,"Action, Comedy, Drama, Family, Thriller",Walt Disney Pictures,Canada,CA
56000000,http://www.brokencitymovie.com/,98357,en,Broken City,29.490057,18-Jan-13,19701164,109,Released,Proof Can Be a Powerful Weapon.,5.7,593,"Thriller, Crime, Drama",Regency Enterprises,United States of America,US
55000000,,10603,en,George of the Jungle,22.573237,15-Jul-97,0,92,Released,Watch out!,5.4,496,"Adventure, Comedy, Family, Romance",Walt Disney Pictures,United States of America,US
55000000,,11353,en,Bowfinger,13.191829,12-Aug-99,0,97,Released,The con is on.,6,254,Comedy,Universal Pictures,United States of America,US
55000000,,175574,en,Free Birds,14.414937,30-Oct-13,110000000,91,Released,Hang On To Your Nuggets,5.7,254,"Animation, Comedy, Family",Reel FX Creative Studios,United States of America,US
55000000,,156022,en,The Equalizer,79.922059,24-Sep-14,192330738,132,Released,What do you see when you look at me?,7.1,2954,"Thriller, Action, Crime",Columbia Pictures,United States of America,US
55000000,,10530,en,Pocahontas,47.845589,14-Jun-95,346079773,81,Released,An American legend comes to life.,6.7,1457,"Adventure, Animation, Drama, Family",Walt Disney Pictures,United States of America,US
55000000,,6520,en,First Knight,19.143321,07-Jul-95,127600435,134,Released,Their greatest battle would be for her love.,5.9,311,"Action, Adventure, Drama, Romance",Columbia Pictures Corporation,United States of America,US
55000000,,9566,en,The Fan,4.366488,15-Aug-96,18626419,116,Released,All fans have a favorite player.  This one has a favorite target.,5.7,194,"Drama, Mystery, Thriller",TriStar Pictures,United States of America,US
55000000,,2320,en,Executive Decision,17.231675,15-Mar-96,121969216,133,Released,Fasten your seat belts,5.8,256,"Action, Adventure, Drama, Thriller",Silver Pictures,United States of America,US
55000000,,8984,en,Disclosure,15.064058,09-Dec-94,214015089,123,Released,Sex Is Power.,5.9,210,"Drama, Thriller, Crime, Mystery, Romance",Warner Bros.,United States of America,US
55000000,,795,en,City of Angels,21.272734,10-Apr-98,198685114,114,Released,She didn't believe in angels until she fell in love with one.,6.4,529,"Drama, Fantasy, Romance",Atlas Entertainment,United States of America,US
55000000,,34314,en,Turbulence,4.700024,09-Jan-97,11466088,100,Released,"If you weren't afraid of flying before, you will be now.",5.2,62,"Action, Thriller, Crime",Metro-Goldwyn-Mayer (MGM),United States of America,US
55000000,,9618,en,Tango & Cash,22.787667,22-Dec-89,63408614,104,Released,Two of L.A.'s top rival cops are going to have to work together... Even if it kills them.,6.1,458,"Action, Adventure, Comedy",Warner Bros.,United States of America,US
55000000,,10632,en,The Hunted,8.634954,11-Mar-03,34234008,94,Released,Some men should not be found.,6,189,"Drama, Action, Thriller, Crime",Lakeshore Entertainment,United States of America,US
55000000,,2207,en,16 Blocks,32.31022,01-Mar-06,65664721,105,Released,"For a New York cop and his witness, the distance between life and death just got very short.",6.2,661,"Action, Adventure, Crime, Thriller",Donners' Company,United States of America,US
55000000,,9315,en,Flightplan,32.05145,22-Sep-05,223387299,98,Released,If Someone Took Everything You Live For... How Far Would You Go To Get It Back?,6.1,772,"Thriller, Drama, Mystery",Imagine Entertainment,United States of America,US
55000000,,1597,en,Meet the Parents,29.97224,06-Oct-00,330444045,108,Released,First comes love. Then comes the interrogation.,6.6,1698,"Comedy, Romance",DreamWorks SKG,United States of America,US
55000000,,9563,en,Any Given Sunday,23.127561,16-Dec-99,100230832,163,Released,Play or be Played.,6.8,422,Drama,Donners' Company,United States of America,US
55000000,,9374,en,Death Becomes Her,29.498304,30-Jul-92,149022650,104,Released,In one small bottle... The fountain of youth. The secret of eternal life. The power of an ancient potion. Sometimes it works... sometimes it doesn't.,6.3,636,"Fantasy, Comedy",Universal Pictures,United States of America,US
55000000,,8273,en,American Wedding,36.194802,01-Aug-03,231449203,103,Released,Forever hold your piece.,6,1129,"Comedy, Romance",Universal Pictures,United States of America,US
55000000,,10375,en,D-Tox,12.669778,04-Jan-02,6416302,96,Released,Survival is a Killer.,5.3,123,"Action, Thriller",Universal Pictures,United States of America,US
55000000,,12704,en,Ishtar,2.410546,15-May-87,14375181,107,Released,,4.2,28,"Action, Adventure, Comedy",Columbia Pictures,United States of America,US
55000000,,1792,en,Stuck on You,8.802525,10-Dec-03,33828318,118,Released,"Whatever happens to the boys, one thing is certain. Nothing will ever come between them.",5.1,188,Comedy,Twentieth Century Fox Film Corporation,United States of America,US
55000000,,13,en,Forrest Gump,138.133331,06-Jul-94,677945399,142,Released,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",8.2,7927,"Comedy, Drama, Romance",Paramount Pictures,United States of America,US
55000000,,4517,en,Elizabeth: The Golden Age,15.274137,09-Sep-07,74237563,114,Released,Woman. Warrior. Queen.,6.6,303,"Drama, History, Romance",Universal Pictures,United Kingdom,GB
55000000,,1924,en,Superman,48.507081,13-Dec-78,300218018,143,Released,You'll Believe a Man Can Fly!,6.9,1022,"Action, Adventure, Fantasy, Science Fiction",Warner Bros.,United Kingdom,GB
55000000,,70074,en,Bullet to the Head,22.503935,31-Jan-13,9489829,92,Released,Revenge Never Gets Old.,5.2,481,"Action, Crime, Thriller",Dark Castle Entertainment,Switzerland,CH
55000000,,8195,en,Ronin,32.657488,25-Sep-98,41610884,122,Released,Your ally could become your enemy.,6.7,658,"Action, Thriller, Crime, Adventure",United Artists,France,FR
55000000,,8584,en,Shanghai Noon,25.400935,26-May-00,56932305,110,Released,The old west meets the far east.,6.2,735,"Adventure, Action, Comedy, Western",Spyglass Entertainment,Hong Kong,HK
55000000,,9275,en,Death to Smoochy,11.329727,28-Mar-02,0,109,Released,Get ready for an unexpected hit.,5.9,132,"Comedy, Crime, Drama, Thriller",Senator Film Produktion,Germany,DE
55000000,http://www.forbiddenkingdommovie.com/,1729,en,The Forbidden Kingdom,17.097041,18-Apr-08,127906624,104,Released,The battle for eternity is the fantasy of a lifetime.,6.3,461,"Action, Adventure, Fantasy",Casey Silver Productions,China,CN
55000000,http://www.everestmovie.com/,253412,en,Everest,60.246978,10-Sep-15,203427584,121,Released,The Storm Awaits.,6.7,1772,"Adventure, Drama",Universal Pictures,Iceland,IS
55000000,http://www.paddington.com/,116149,en,Paddington,39.882276,27-Nov-14,259207227,95,Released,The Adventure Begins,7,883,"Family, Comedy",The Weinstein Company,United Kingdom,GB
55000000,http://www.sonypictures.com/movies/maidinmanhattan/,7303,en,Maid in Manhattan,19.738215,13-Dec-02,154906693,105,Released,,5.6,485,"Comedy, Drama, Romance",Red Om Films,United States of America,US
55000000,http://www.sonypictures.com/homevideo/allthekingsmen/,1717,en,All the King's Men,7.768223,10-Sep-06,9450897,125,Released,Some people will do anything to gain power. Some will do anything to keep it.,5.7,95,"Drama, Thriller",Columbia Pictures Corporation,United States of America,US
55000000,http://www.popperspenguins.com/main.html,58224,en,Mr. Popper's Penguins,32.835777,17-Jun-11,187361754,94,Released,,5.7,751,"Comedy, Family",Twentieth Century Fox Film Corporation,United States of America,US
55000000,http://www.datenight-movie.com/,35056,en,Date Night,38.06168,08-Apr-10,152263880,97,Released,One ordinary couple. One little white lie.,5.9,1122,Comedy,Twentieth Century Fox Film Corporation,United States of America,US
55000000,http://www.cityofember.com/,13600,en,City of Ember,23.465539,07-Oct-08,17869048,90,Released,Escape is the only option,6.2,605,"Adventure, Family, Fantasy",Playtone,United States of America,US
55000000,http://www.changelingmovie.net,3580,en,Changeling,27.50916,30-Jan-08,113020255,141,Released,"To find her son, she did what no one else dared.",7.3,1131,"Crime, Drama, Mystery",Imagine Entertainment,United States of America,US
55000000,http://www.captainphillipsmovie.com,109424,en,Captain Phillips,52.786917,10-Oct-13,95000000,134,Released,Out here survival is everything.,7.6,2454,"Action, Drama, Thriller",Columbia Pictures,United States of America,US
55000000,http://www.burlesquethemovie.com/,42297,en,Burlesque,22.863516,23-Nov-10,89519773,119,Released,It takes a legend... to make a star,6.9,573,"Drama, Romance",Bedford Falls Productions,United States of America,US
55000000,http://www.310toyumathefilm.com/,5176,en,3:10 to Yuma,48.801089,06-Sep-07,70016220,122,Released,Time waits for one man.,6.9,1188,Western,Tree Line Films,United States of America,US
55000000,http://en.wikipedia.org/wiki/Evita_(film),8818,en,Evita,7.027139,14-Dec-96,141047179,134,Released,The Most Anticipated Motion Picture Event of The Year,5.9,120,"History, Drama, Music",Hollywood Pictures,United States of America,US
55000000,http://www.sonypictures.com/movies/sevenpounds/,11321,en,Seven Pounds,41.472404,18-Dec-08,168167691,123,Released,Seven names. Seven strangers. One secret.,7.5,2039,Drama,Columbia Pictures,United States of America,US
55000000,http://www.sonypictures.com/homevideo/thepursuitofhappyness/,1402,en,The Pursuit of Happyness,80.581367,14-Dec-06,307077295,117,Released,,7.7,2525,Drama,Columbia Pictures Corporation,United States of America,US
55000000,http://www.imaginethatmovie.com/,19724,en,Imagine That,12.340384,19-Jun-09,0,107,Released,What if your daughter's imagination... Was the secret to your success?,5.7,134,Comedy,Paramount Pictures,United States of America,US
54000000,,9327,en,The Nutty Professor,20.28119,26-Jun-96,128769345,95,Released,"Inside Sherman Klump, a party animal is about to break out.",5.4,702,"Fantasy, Comedy, Romance, Science Fiction",Imagine Entertainment,United States of America,US
54000000,,8536,en,Superman II,30.515175,04-Dec-80,190458706,127,Released,The Man of Steel meets his match!,6.5,629,"Action, Adventure, Fantasy, Science Fiction",Warner Bros.,United Kingdom,GB
54000000,http://www.warnerbros.com/blade-ii,36586,en,Blade II,67.169587,22-Mar-02,155010032,117,Released,Faster. Sharper. Deadlier.,6.2,1528,"Fantasy, Horror, Action, Thriller",New Line Cinema,Germany,DE
54000000,http://www.imdb.com/title/tt0099674/,242,en,The Godfather: Part III,59.194915,24-Dec-90,136766062,162,Released,All the power on earth can't change destiny.,7.1,1546,"Crime, Drama, Thriller",Paramount Pictures,Italy,IT
54000000,http://vforvendetta.warnerbros.com/,752,en,V for Vendetta,84.630969,15-Mar-06,132511035,132,Released,People should not be afraid of their governments. Governments should be afraid of their people.,7.7,4442,"Action, Thriller, Fantasy",Studio Babelsberg,Germany,DE
54000000,http://www.sonypictures.com/homevideo/catalog/catalogDetail_DVD043396087576.html,8046,en,Gigli,9.053456,01-Aug-03,7266209,121,Released,Life doesn't play by the rules.,3.5,104,Drama,City Light Films,United States of America,US
54000000,http://www.youmeanddupree.com/,1819,en,"You, Me and Dupree",18.600367,14-Jul-06,130431368,108,Released,Two's company. Dupree's a crowd.,5.4,407,"Comedy, Romance",Universal Pictures,United States of America,US
53000000,,9955,en,Blades of Glory,19.412028,30-Mar-07,0,93,Released,Kick Some Ice.,5.9,569,"Action, Comedy, Drama",DreamWorks,United States of America,US
53000000,,22803,en,Law Abiding Citizen,49.593978,15-Oct-09,126690726,109,Released,The System Must Pay.,7.2,1486,"Drama, Crime, Thriller","Film Department, The",United States of America,US
53000000,,8963,en,Crimson Tide,20.334629,12-May-95,157387195,116,Released,Danger runs deep.,7,498,"Action, Thriller, Drama",Hollywood Pictures,United States of America,US
53000000,,4551,en,Be Cool,18.61472,04-Mar-05,95226116,118,Released,Everyone is looking for the next big hit,5.4,292,"Comedy, Crime",Double Feature Films,United States of America,US
53000000,,4133,en,Blow,28.350529,04-Apr-01,83282296,124,Released,Based on a true story.,7.4,1317,"Crime, Drama",New Line Cinema,United States of America,US
53000000,,9444,en,Anastasia,45.565918,20-Nov-97,139804348,94,Released,Discover the Adventure Behind the Greatest Mystery of Our Time.,7.4,1432,"Animation, Family",Twentieth Century Fox Film Corporation,United States of America,US
53000000,,261023,en,Black Mass,46.049902,04-Sep-15,98837872,122,Released,Keep your enemies close.,6.3,1242,"Crime, Drama",Infinitum Nihil,United Kingdom,GB
53000000,http://angeleyesmovie.warnerbros.com/index_noflash.html,5852,en,Angel Eyes,6.454634,15-May-01,29700000,102,Released,"The deeper you look, the more you will find.",5.6,88,"Drama, Romance, Thriller",Epsilon Motion Pictures,United States of America,US
52500000,,824,en,Moulin Rouge!,57.374341,09-Mar-01,179213434,127,Released,No Laws. No Limits. One Rule. Never Fall In Love.,7.4,1300,"Drama, Music, Romance",Bazmark Films,Australia,AU
52000000,,11817,en,Bulletproof Monk,15.20707,28-Mar-03,0,104,Released,A power beyond measure requires a protector without equal.,5.1,278,"Action, Comedy, Fantasy",Metro-Goldwyn-Mayer (MGM),United States of America,US
52000000,,568,en,Apollo 13,68.140214,30-Jun-95,355237933,140,Released,"Houston, we have a problem.",7.3,1599,Drama,Imagine Entertainment,United States of America,US
52000000,,11631,en,Mamma Mia!,30.780599,03-Jul-08,609841637,108,Released,Take a trip down the aisle you'll never forget,6.4,1386,"Comedy, Romance",Universal Pictures,Germany,DE
52000000,,2026,en,Hostage,23.663713,09-Mar-05,77944725,113,Released,Every Second Counts,6.2,512,"Mystery, Drama, Thriller, Crime",Miramax Films,Germany,DE
52000000,,8741,en,The Thin Red Line,40.072583,25-Dec-98,98126565,170,Released,Every man fights his own war.,7.2,771,"Drama, History, War",Fox 2000 Pictures,Canada,CA
52000000,,524,en,Casino,40.06688,22-Nov-95,116112375,178,Released,No one stays at the top forever.,7.8,1307,"Drama, Crime",Universal Pictures,France,FR
52000000,http://www.frompariswithlovefilm.com/,26389,en,From Paris with Love,27.916284,05-Feb-10,52826594,92,Released,Two agents. One city. No merci.,6.1,675,"Action, Crime, Thriller",Apipoulaï,United Kingdom,GB
52000000,https://www.facebook.com/CatchMeIfYouCanMovie,640,en,Catch Me If You Can,73.944049,25-Dec-02,352114312,141,Released,The true story of a real fake.,7.7,3795,"Drama, Crime",Kemp Company,United States of America,US
52000000,http://www.valentinesdaymovie.com/,32856,en,Valentine's Day,25.41929,10-Feb-10,216485654,125,Released,A Love Story. More or Less.,5.7,1013,"Comedy, Romance",New Line Cinema,United States of America,US
52000000,http://www.brockovich.com/movie.html,462,en,Erin Brockovich,30.347332,17-Mar-00,256271286,131,Released,She brought a small town to its feet and a huge corporation to its knees.,7.1,716,Drama,Jersey Films,United States of America,US
52000000,https://www.uphe.com/movies/the-break-up,9767,en,The Break-Up,26.251217,01-Jun-06,204999686,106,Released,. . . pick a side.,5.6,832,"Romance, Comedy",Universal Pictures,United States of America,US
52000000,http://www.thechangeupmovie.com/,49520,en,The Change-Up,32.015477,05-Aug-11,75450437,112,Released,Who says men can't change?,5.9,736,Comedy,Universal Pictures,United States of America,US
51500000,http://www.focusfeatures.com/easternpromises/,2252,en,Eastern Promises,35.481169,14-Sep-07,55112356,100,Released,Every sin leaves a mark.,7.2,848,"Thriller, Crime, Mystery",BBC Films,United Kingdom,GB
51000000,,2123,en,"Me, Myself & Irene",39.001682,22-Jun-00,149270999,116,Released,From gentle to mental.,6.1,927,Comedy,Twentieth Century Fox Film Corporation,United States of America,US
51000000,,9907,en,Barnyard,10.430832,04-Aug-06,72779000,90,Released,What happens in the barn stays in the barn,5.3,225,"Animation, Comedy, Family",Paramount Pictures,Germany,DE
50200000,http://www.theadjustmentbureau.com/,38050,en,The Adjustment Bureau,26.60772,03-Mar-11,127869379,106,Released,Fight for your fate.,6.5,1652,"Science Fiction, Thriller, Romance",Universal Pictures,United States of America,US
50100000,http://focusmovie.com/,256591,en,Focus,59.634029,25-Feb-15,153962963,105,Released,Never Drop The Con.,6.7,2542,"Romance, Comedy, Crime, Drama",Kramer & Sigman Films,United States of America,US
50000000,,6623,en,The Peacemaker,15.931084,26-Sep-97,0,124,Released,How do you get the world's attention?,5.8,255,"Action, Thriller",DreamWorks SKG,United States of America,US
50000000,,10390,en,For Love of the Game,9.622345,17-Sep-99,0,137,Released,Billy Chapel must choose between the woman he loves and the game he lives for.,6.3,88,"Drama, Romance",Universal Pictures,United States of America,US
50000000,,241554,en,Run All Night,74.64653,11-Mar-15,71561644,114,Released,No sin goes unpunished,6.3,1148,"Action, Crime, Drama, Mystery, Thriller",Vertigo Entertainment,United States of America,US
50000000,,13836,en,Race to Witch Mountain,23.935053,12-Mar-09,106303988,98,Released,The race is on,5.5,509,"Adventure, Family, Fantasy, Science Fiction, Thriller, Action",Walt Disney Pictures,United States of America,US
50000000,,216282,en,Into the Storm,20.566554,06-Aug-14,160602194,89,Released,Prepare to go,5.8,817,"Action, Thriller",New Line Cinema,United States of America,US
50000000,,145220,en,Muppets Most Wanted,14.808304,20-Mar-14,80383290,112,Released,Taking the world by farce,6.2,316,"Comedy, Adventure, Crime, Family",Buena Vista,United States of America,US
50000000,,10533,en,The Scarlet Letter,7.44268,13-Oct-95,10382407,135,Released,"When intimacy is forbidden and passion is a sin, love is the most defiant crime of all.",5.5,108,"Drama, History, Romance",Hollywood Pictures,United States of America,US
50000000,,6950,en,Outbreak,30.397496,10-Mar-95,189859560,127,Released,This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.,6.3,513,"Action, Drama, Science Fiction, Thriller",Kopelson Entertainment,United States of America,US
50000000,,9879,en,Striptease,11.106006,28-Jun-96,113309743,115,Released,Some People Get Into Trouble No Matter What They WEAR.,4.4,205,"Drama, Thriller, Crime",Columbia Pictures,United States of America,US
50000000,,9624,en,On Deadly Ground,9.114168,18-Feb-94,49000000,102,Released,His Battle To Save The Alaskan Wilderness And Protect Its People Can Only Be Won...,4.5,104,"Action, Thriller",Warner Bros.,United States of America,US
50000000,,66,en,Absolute Power,13.576765,14-Feb-97,50068310,121,Released,Corrupts Absolutely.,6.4,223,"Crime, Drama, Thriller",Columbia Pictures,United States of America,US
50000000,,9390,en,Jerry Maguire,27.039636,06-Dec-96,273552592,139,Released,Everybody loved him... Everybody disappeared.,6.7,913,"Comedy, Drama, Romance",Gracie Films,United States of America,US
50000000,,9770,en,Mad City,3.314004,07-Nov-97,10541523,114,Released,One man will make a mistake. The other will make it a spectacle.,5.9,81,"Action, Drama, Thriller",Warner Bros.,United States of America,US
50000000,,2898,en,As Good as It Gets,37.885022,19-Dec-97,314178011,139,Released,A comedy from the heart that goes for the throat.,7.2,915,"Comedy, Romance",Gracie Films,United States of America,US
50000000,,4421,en,G.I. Jane,19.434672,22-Aug-97,48169156,125,Released,Failure is not an option.,6,395,"Action, Drama",Caravan Pictures,United States of America,US
50000000,,2649,en,The Game,62.925175,12-Sep-97,109423648,129,Released,What do you get for the man who has everything?,7.5,1506,"Drama, Thriller, Mystery",PolyGram Filmed Entertainment,United States of America,US
50000000,,928,en,Gremlins 2: The New Batch,33.98637,15-Jun-90,41482207,106,Released,Here they grow again.,6.2,652,"Comedy, Horror, Fantasy",Amblin Entertainment,United States of America,US
50000000,,12634,en,The Big Bounce,6.397388,30-Jan-04,6808550,88,Released,It's all in who you trust,5,76,"Comedy, Crime",Shangri-La Entertainment,United States of America,US
50000000,,2116,en,Out of Time,14.993459,03-Oct-03,55495563,105,Released,The Clock Is Ticking...,6.1,298,"Thriller, Crime, Drama",Original Film,United States of America,US
50000000,,4599,en,Raising Helen,13.298205,27-May-04,49718611,119,Released,Her uptown life gets turned inside out!,5.9,189,"Drama, Comedy, Romance",Touchstone Pictures,United States of America,US
50000000,,10782,en,Basic,19.226763,18-Apr-03,42792561,98,Released,Deception is their most deadly weapon.,6.2,286,"Action, Drama, Mystery, Thriller, Crime",Intermedia Films,United States of America,US
50000000,,9975,en,Curious George,9.894346,10-Feb-06,69834815,86,Released,Get Carried Away With The Cutest Little Monkey Around!,6.2,106,"Adventure, Animation, Comedy, Family",Imagine Entertainment,United States of America,US
50000000,,11968,en,Into the Blue,14.723467,30-Sep-05,44434439,110,Released,Treasure has its price.,5.8,458,"Action, Thriller, Adventure, Crime",Columbia Pictures Corporation,United States of America,US
50000000,,7453,en,The Hitchhiker's Guide to the Galaxy,51.742065,15-Jan-05,104478416,109,Released,Don't leave Earth without it.,6.6,1315,"Adventure, Comedy, Family, Science Fiction",Spyglass Entertainment,United States of America,US
50000000,,421,en,The Life Aquatic with Steve Zissou,25.237969,10-Dec-04,34808403,119,Released,"The deeper you go, the weirder life gets.",7.1,775,"Adventure, Comedy, Drama",Touchstone Pictures,United States of America,US
50000000,,10320,en,The Ring Two,32.233713,17-Mar-05,161451538,110,Released,The dead don't sleep.,5.4,632,"Drama, Horror, Thriller",DreamWorks,United States of America,US
50000000,,11451,en,Herbie Fully Loaded,12.050755,22-Jun-05,66002004,101,Released,Start your engines...,5.1,542,"Comedy, Family, Adventure, Fantasy, Romance",Walt Disney Pictures,United States of America,US
50000000,,11892,en,Murder by Numbers,16.167093,19-Apr-02,56714147,120,Released,The only flaw in their plan was her.,6,268,"Crime, Drama, Thriller",Castle Rock Entertainment,United States of America,US
50000000,,2251,en,Unfaithful,14.382253,10-May-02,119137784,124,Released,Where do you go when you've gone too far?,6.3,276,"Thriller, Drama",Regency Enterprises,United States of America,US
50000000,,9573,en,Blood Work,10.089065,04-Aug-02,26199517,110,Released,He's a heartbeat away from catching the killer,6.1,206,"Crime, Drama, Mystery, Thriller",Malpaso Productions,United States of America,US
50000000,,2022,en,Mr. Deeds,18.121404,28-Jun-02,171269535,96,Released,"Small town kid, big time right hook.",5.6,644,"Comedy, Romance",New Line Cinema,United States of America,US
50000000,,8839,en,Casper,19.830132,26-May-95,287928194,100,Released,Get an afterlife,6,1019,"Fantasy, Comedy, Family",Universal Pictures,United States of America,US
50000000,,10312,en,Patch Adams,35.537397,25-Dec-98,202292902,115,Released,Laughter is contagious,7,832,"Comedy, Drama",Universal Pictures,United States of America,US
50000000,,10400,en,The Hurricane,20.825781,17-Sep-99,73956241,146,Released,His greatest fight was for justice.,7.2,396,Drama,Universal Pictures,United States of America,US
50000000,,12220,en,The Story of Us,6.22577,13-Oct-99,58900031,95,Released,,5.9,75,"Comedy, Drama, Romance",Universal Pictures,United States of America,US
50000000,,12123,en,Chain Reaction,20.58862,02-Aug-96,60209334,107,Released,Reaction Time 8-4-96,5.3,284,"Action, Drama, Science Fiction, Thriller",Twentieth Century Fox Film Corporation,United States of America,US
